sequence,version,stage,file,status,lines,words,characters,h2_sections,all_headings,code_blocks,inserted,deleted,similarity,h2_added,h2_removed,audit,patches,sha256
1,0.2.0,Language revision,FOREST-LANGUAGE-Working-Draft-0.2.md,Working Draft,731,2758,18134,47,56,17,,,,"Purpose | Canonical Rules | 🌲 Forest | ❤️ Heart of the Forest | 🌱 Roots | 🟫 Soil | 🌰 Seed | 🔐 Seed Vault | 🌱 Planting | 🌱 Sprout | 🪴 Sapling | 🌳 Tree | 🍒 Cherry | 🍁 Maple | 🪵 Grain Pattern | 🌿 Branches | 🌳 Bark | 🍃 Leaves | 🔎 Evidence Levels | 🌱 Buds | 🌸 Blossoms | 🍎 Fruit | 🪵 Growth Rings | 🍂 Leaf Litter | 🪵 Logs | 🏡 Log Cabin | 🌊 Streams | 🍄 Mycelium | 🌧️ Rain | ☀️ Sunlight | 🧪 Fertilizer | 🪓 Cutting | ✂️ Pruning | 🧭 Forest Compass | Path | Walking Down a Path | Roots | Leaves | Buds, Blossoms, and Fruit | Branches and Maintenance | Grain Pattern | Bark, Streams, Logs, and Rings | Seeds and Repair | 🌱 Spring | ☀️ Summer | 🍂 Autumn | ❄️ Winter",,,,b8a18c2aeb9fb3f906ba19bc73caa320d62136bf9719a959715311facada5e15
2,0.2.0,Language revision,FOREST-LANGUAGE-Review-Draft-0.2.md,Working Draft,743,2797,18415,48,58,18,12,0,0.99185889,Edit command,,,,50a50d08992c73b4a2a938da37bcc320ca605bda79f8e7926f74685c2fdeda5e
3,0.3.0,Language revision,FOREST-LANGUAGE-Working-Draft-0.3.md,Working Draft,780,3000,19666,48,58,19,50,13,0.95863427,🪵 Trunk,Edit command,,,698a029b9b1b88ba09c487c6885f67bd354dd6fc970a612cda01c7d90bfe46ef
4,0.3.0,Language revision,FOREST-LANGUAGE-Review-Draft-0.3.md,Working Draft,794,3056,20075,50,61,20,14,0,0.99110546,Edit command | Important note,,,,102e31a798f6733aec31683c140bfbbaf24c0b6a0346a1ac04480a3fda24b9f4
5,0.4.0,Language revision,FOREST-LANGUAGE-Working-Draft-0.4.md,Working Draft,1025,4088,26849,53,68,29,263,32,0.83782298,"🌲 Cedar | 🌿 Canopy | 🚷 Poachers | 🦠 Mold | Trunk, Canopy, and Cedar",Edit command | Important note,,,c6a70e0fc6bda3c7ccd6a4de0072c487ef207ff3fc49ae7132a6a38aaadb27ce
6,0.5.0,Language revision,FOREST-LANGUAGE-Working-Draft-0.5.md,Working Draft,1231,4926,32053,58,81,35,218,12,0.89804965,"⚙️ Wood Chipper | 🌲 Felling | 🪚 Milling | 🌱 Replanting | Containment, Disposal, and Recovery",,,,b2cfa610f3dfd59d498b5d18ab28409cd1d558d618ab0ae3f11f84aa9afe32b3
7,0.6.0,Language revision,FOREST-LANGUAGE-Working-Draft-0.6.md,Working Draft,1480,5849,37096,59,90,43,257,8,0.90225009,"Compass, Map, and Paths",,,,80dd034c2f85a618dc328b80125782b186d26b1ae75dae66131f9a56e8229c4c
8,0.7.0,Language revision,FOREST-LANGUAGE-Working-Draft-0.7.md,Working Draft,1504,6164,38870,49,90,41,182,158,0.88605898,✨ Spirit of the Forest,"🧭 Forest Compass | Compass, Map, and Paths | Roots | Leaves | Buds, Blossoms, and Fruit | Branches and Maintenance | Grain Pattern | Containment, Disposal, and Recovery | Trunk, Canopy, and Cedar | Bark, Streams, Logs, and Rings | Seeds and Repair",,,2a3be87f58fb78b24d445b96253ab68ac959c43db3e37c359409210dfc1e81bf
9,0.8.0,Language revision,FOREST-LANGUAGE-Working-Draft-0.8.md,Working Draft,1502,6192,39059,49,89,41,17,19,0.98802395,,,,,4877b23f973babb373624b6e0f310345bd5c65e3828bc585456f2056d873b061
10,0.8.0,Reordered,FOREST-LANGUAGE-Working-Draft-0.8-Reordered.md,Working Draft,1501,6177,39011,49,89,41,283,284,0.81118881,,,,,61bc0aa8abfa6561626d1ec66f0a57ff322783b5ee1ca6827ca8fe3761642fde
