current_path	sha256	size	certified_matches	historical_matches	other_exact_matches
bin/bristlecone-workshop.py	c1dba1892ee33f970f46d2286f9bdf4d84aed8277e08049602e74c6e556a2bb0	10331	[]	[]	[]
cache/__init__.py	6ad14ad62f666dfd89bc6068967ce6bb5fd8565d0eb57cd5fb6c4c99ab4bda4c	294	[]	[]	[]
cache/coordinator.py	3f0ff65a1362170e62b181048aa638bba93778809ccdebdd77a672ecb17a89f2	4700	[]	[]	[]
cache/entry.py	5fcdcd629b83e249da4563cfdd3d56f3e43adb867a7016002466574fb7a771e7	2105	[]	[]	[]
capabilities/resolver.py	c4edbb816c61b282a5fd560793c0b3aa9027b8d07544e5c9c15ec4f0a4842f23	27938	[]	[]	[]
colony/__init__.py	d30320794660e19ce6cfd1e593d5d59c10a79f5b02d06f4512244a0018f0af38	420	"[""backups/phase14_11H1_certified_20260811T220927Z/colony/__init__.py"", ""backups/phase14_11H5G_certified_20260811T233141Z/colony/__init__.py"", ""backups/phase14_11H6D_certified_20260811T234357Z/colony/__init__.py"", ""backups/phase14_11H7_final_certified_20260811T234518Z/colony/__init__.py""]"	[]	[]
colony/identity.py	0b95f47bc0f4321f722a4b6b092a40238ef4193a91ccc40e963233b6a1be627a	3417	"[""backups/phase14_11H1_certified_20260811T220927Z/colony/identity.py"", ""backups/phase14_11H2_certified_20260811T221328Z/colony/identity.py"", ""backups/phase14_11H5G_certified_20260811T233141Z/colony/identity.py"", ""backups/phase14_11H6D_certified_20260811T234357Z/colony/identity.py"", ""backups/phase14_11H7_final_certified_20260811T234518Z/colony/identity.py"", ""backups/phase14_11HB5_certified_20260811T231320Z/colony/identity.py""]"	[]	[]
learning/__init__.py	bcdf0dd132a9db31337928cdb5c461e1d4cdf531779d260e9d4e61cedd7c94ef	1107	[]	[]	[]
learning/context_matcher.py	b1870ea17fb322971ea2808b0404391856b43c67640995211ce8c964931511a4	9534	[]	[]	[]
learning/context_state.py	4a504a12a461541fa6370a5dca608e368a0e74873b254ab3add34c5f365447ed	34156	[]	[]	[]
learning/foundation.py	cd785a840356ad55d6ef27fb2b441620fb8280bbbda0bf583b700aba35a9601c	39651	[]	[]	[]
learning/hot_context.py	7b6886b20c520c26bcfb45552309d4f8c246344df4829d24937adabb36a2953e	13211	[]	[]	[]
learning/indexes.py	d50fe67876c285e9ed34c829f00ce6475b899d5b8e20e5ab475b75fede6e2cf8	11925	[]	[]	[]
learning/operational.py	472c80b8de70cb051ef2d7f3db3fb79b821caf93a59a04180b10c329e23a2c2a	1054	[]	[]	[]
learning/operational_matcher.py	839c91d0cf406985b659da257fb85f50b238a030f6765d9ef7dbc847f2837620	11404	[]	[]	[]
learning/snapshot_provider.py	d0d513fbb69a1a69ada8948f3e04c2549f6284d8c65e924aeda993a54533fb99	18961	[]	[]	[]
learning/turn_instruction.py	4968d33e83118ffd93fbfae3607c3d1dde1982eede710e00d13eddf367842e4a	10122	[]	[]	[]
learning/turn_retrieval.py	3e78104ebf70a5f6e8cc00885c5cd88e47f6e5b510f623efe9a26e3f95ae7436	16820	[]	[]	[]
model_form/__init__.py	2c03f2e941001ea0d2a84603f14f6978cafe7268c2c61f4d186d3882e05d7a71	2158	"[""backups/phase14_11G5D_certified_20260811T213131Z/model_form/__init__.py"", ""backups/phase14_11G6D_certified_20260811T213408Z/model_form/__init__.py"", ""backups/phase14_11G7_final_certified_20260811T213503Z/model_form/__init__.py""]"	[]	[]
model_form/automatic_router.py	3c0500762d56825ba64436faf021cc338e1c5e0c579482b2658500c9b09e42ee	11577	"[""backups/phase14_11G1D_certified_20260811T201835Z/model_form/automatic_router.py"", ""backups/phase14_11G2D_certified_20260811T202633Z/model_form/automatic_router.py"", ""backups/phase14_11G7_final_certified_20260811T213503Z/model_form/automatic_router.py""]"	[]	[]
model_form/automatic_routing.py	bce0361131c560e1ff8b0bfa5919dfdc291984b1e34965fac8201cac245114e2	3337	"[""backups/phase14_11G1B_certified_20260811T201948Z/model_form/automatic_routing.py"", ""backups/phase14_11G1_certified_20260811T202247Z/model_form/automatic_routing.py"", ""backups/phase14_11G2_certified_20260811T202527Z/model_form/automatic_routing.py"", ""backups/phase14_11G3_certified_20260811T203628Z/model_form/automatic_routing.py"", ""backups/phase14_11G4_certified_20260811T211907Z/model_form/automatic_routing.py"", ""backups/phase14_11G7_final_certified_20260811T213503Z/model_form/automatic_routing.py""]"	[]	[]
model_form/automatic_routing_evidence.py	f28df92e43f1d7b52edb58f35a597ae3f75df4595ef0c6ace333821bb1e9d4cb	3757	"[""backups/phase14_11G1_certified_20260811T202247Z/model_form/automatic_routing_evidence.py"", ""backups/phase14_11G2_certified_20260811T202527Z/model_form/automatic_routing_evidence.py"", ""backups/phase14_11G3_certified_20260811T203628Z/model_form/automatic_routing_evidence.py"", ""backups/phase14_11G4_certified_20260811T211907Z/model_form/automatic_routing_evidence.py"", ""backups/phase14_11G7_final_certified_20260811T213503Z/model_form/automatic_routing_evidence.py""]"	[]	[]
model_form/automatic_routing_policy.py	01dde179a3ad57306e5542580665bd5db20fc9e8c021324eb08c072e594f7b4c	3954	"[""backups/phase14_11G2_certified_20260811T202527Z/model_form/automatic_routing_policy.py"", ""backups/phase14_11G3_certified_20260811T203628Z/model_form/automatic_routing_policy.py"", ""backups/phase14_11G4_certified_20260811T211907Z/model_form/automatic_routing_policy.py"", ""backups/phase14_11G7_final_certified_20260811T213503Z/model_form/automatic_routing_policy.py""]"	[]	[]
model_form/continuity.py	75120e03319c9b638d5e6e34268a74711bcfa29b7f56518ae5125602b9b651bc	4394	"[""backups/phase14_11E3_certified_20260811T142122Z/model_form/continuity.py""]"	[]	[]
model_form/control.py	da84ec0c8d524f05271ba9608722bbaeb22d3e98d78d28b3fa8a89c0c72b56d1	10907	"[""backups/phase14_11B_certified_20260811T112947Z/model_form/control.py"", ""backups/phase14_11D0_certified_20260811T123502Z/model_form/control.py""]"	"[""backups/phase14_11G1_pre_20260811T201227Z/model_form/control.py""]"	[]
model_form/handoff.py	48f16b54711f91ac0e61a5737f144fef51b96fb8aa8d3354756f0a8a95ba69ff	3822	"[""backups/phase14_11E1_certified_20260811T135713Z/handoff.py"", ""backups/phase14_11E2_certified_20260811T140259Z/handoff.py"", ""backups/phase14_11E3_certified_20260811T142122Z/model_form/handoff.py""]"	[]	[]
model_form/handoff_detection.py	451e38ac331c522c3069fd2db98e885444027a26a87549430a75ce3e9df93696	2135	"[""backups/phase14_11E2_certified_20260811T140259Z/handoff_detection.py"", ""backups/phase14_11E3_certified_20260811T142122Z/model_form/handoff_detection.py""]"	[]	[]
