path	size	sha256
bin/bristlecone-workshop.py	10331	c1dba1892ee33f970f46d2286f9bdf4d84aed8277e08049602e74c6e556a2bb0
cache/__init__.py	294	6ad14ad62f666dfd89bc6068967ce6bb5fd8565d0eb57cd5fb6c4c99ab4bda4c
cache/coordinator.py	4700	3f0ff65a1362170e62b181048aa638bba93778809ccdebdd77a672ecb17a89f2
cache/entry.py	2105	5fcdcd629b83e249da4563cfdd3d56f3e43adb867a7016002466574fb7a771e7
capabilities/resolver.py	27938	c4edbb816c61b282a5fd560793c0b3aa9027b8d07544e5c9c15ec4f0a4842f23
learning/__init__.py	1107	bcdf0dd132a9db31337928cdb5c461e1d4cdf531779d260e9d4e61cedd7c94ef
learning/context_matcher.py	9534	b1870ea17fb322971ea2808b0404391856b43c67640995211ce8c964931511a4
learning/context_state.py	34156	4a504a12a461541fa6370a5dca608e368a0e74873b254ab3add34c5f365447ed
learning/foundation.py	39651	cd785a840356ad55d6ef27fb2b441620fb8280bbbda0bf583b700aba35a9601c
learning/hot_context.py	13211	7b6886b20c520c26bcfb45552309d4f8c246344df4829d24937adabb36a2953e
learning/indexes.py	11925	d50fe67876c285e9ed34c829f00ce6475b899d5b8e20e5ab475b75fede6e2cf8
learning/operational.py	1054	472c80b8de70cb051ef2d7f3db3fb79b821caf93a59a04180b10c329e23a2c2a
learning/operational_matcher.py	11404	839c91d0cf406985b659da257fb85f50b238a030f6765d9ef7dbc847f2837620
learning/snapshot_provider.py	18961	d0d513fbb69a1a69ada8948f3e04c2549f6284d8c65e924aeda993a54533fb99
learning/turn_instruction.py	10122	4968d33e83118ffd93fbfae3607c3d1dde1982eede710e00d13eddf367842e4a
learning/turn_retrieval.py	16820	3e78104ebf70a5f6e8cc00885c5cd88e47f6e5b510f623efe9a26e3f95ae7436
reasoning/__init__.py	1805	4884f4370551ceae763826703dc377f543820e48b0e588c17dabb8079baf371f
reasoning/model.py	3934	ae596c11e57d299f631c5139dcf827e79945a9b961f18042c1f518d6a5bf8102
reasoning/router.py	6584	fafd1cefdab42c3be03f1f62a802c071671f63b8d3581e70871786806780d434
runtime/__init__.py	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runtime/adapters/__init__.py	323	40475ca312238520ba69e30f606a28ab0df0b657445ea2c9f7a0531e0f5d9442
runtime/adapters/factory.py	1883	80a70080689f15fc394b0db895927edb0f890f3b8d9e81c964af2641ecc2df3e
runtime/helpers/hermes_profile_bridge.py	7506	85b463d66884bdea60710b7ec9e5f0b1df5d4c75c6713bde7f08d38e1f973909
runtime/tool_availability.py	12155	280e276e7cc98b94970f2f27264006ec2f38d67fb9f72987ac901db03ebc4a00
source_context/__init__.py	339	7a99d8dde0e595143fcdf20991993114fb626e4083a4f1eac15da6a00c12255a
source_context/markdown_structure.py	10650	20b6f156d70fe036a28a280cb8930273b3c8ecd77648585cd13901adf1758658
source_context/markdown_structure_provider.py	8894	ef2b2deae9e495cf9effee8f147129560a1aa0e87d343109c12d825e035ff452
source_context/model.py	12378	584601a7e559ddd4bb731581a5e275f76bdc1cddf09784d144123b070cdefba9
source_context/observation.py	3605	58306cd160d49168bcdf43b8e014878e6c66223c816d0bad579d828b9c754de0
source_context/packet.py	24204	6adca2fa7b4a98ab8ddabaae4bcd6be5e836f3c38f4e78dd6813db43b47a1f94
source_context/reference_matcher.py	11101	e5f1ac6abc247f773f682a78a1e5dd50bbe6d509dbe62d1bd71dc955a8a1a4b1
source_context/rendering.py	13503	d9b46e784424ff79b14242d6e6a8d6a3de6681668e69c14d3d48093a9452306f
source_context/snapshot.py	11801	8489873087648fef28c74632947b2bfbc04f0a1f0f9959992b15d5655f69159e
source_context/structure.py	11413	84151905d872b0ec2df70cc78d9ca9ea283cefbaeb345ab38091bac9978d661b
source_context/structure_provider.py	8876	f073a1515707a069f9bba718b2a82ab7aac8f415363da38abf9f72912c4bd5a5
source_context/target_expansion.py	11584	d9699a9c449675e6e41d0bbb40122fa46f77ec4333606c297e5c1f2da614f1ec
source_context/targeting.py	5697	8f48ce0479d1279c5525e582ec46cf1aa35e41f0488b44fa7537bad4b0014b6b
turn_composition.py	6887	6efeb4c948ee6fba30e0bc880ada938f2503dd4af02e7b1828c0638127f03d29
ui/__init__.py	40	2015630cf00dd79a550a61411e0e2b1176a00b217583b778ae3c8ba04a5332df
ui/actions.py	2073	1d03d5ecac424d50b4fa90b03198ae4538a438bc22750c768d0454332eb49c00
ui/keybindings.py	9944	c1e3a97fbd7b493919753e5d3621e77d1f65cdc303bd2365f0c6ae5f884630c7
ui/presentation.py	4731	d45a9dce74629864f049e7270f3c962a96f7d2f0bbaccaa07a5e09242b64d7dc
ui/presentation_adapters/__init__.py	475	022dbb13380f7508c98974925a76059b6604034f3a612517045c742d98b844e4
ui/presentation_adapters/base.py	4226	1050856431cf61420f21bdd3452ceba2f9d589533ccc96e03236c96edc396e7a
ui/presentation_adapters/generic.py	2651	7246af7925d2d0caffb1a5e4acb9bbd267069128ab71e1a829d850ff0eb898a0
ui/presentation_host_adapters/__init__.py	232	ed96538b50de2bad58f9ccf7a45d1cebb9c4f5ab26201e22daf2b7e306a3a4bd
ui/presentation_host_adapters/qubes_i3_x11.py	21532	e443eae3998ae48043e0be6b4ca576aefcfa972ab7238c81efb0a5346995efb2
ui/reasoning_menu.py	23003	aa66df7908d1bcbd8e61146bd8de6695f81c3cbec46cc5adff22d828f99200d2
