sha256	size	extension	top_level	path
eb65daf02b6c0234e3783e5c89cedf16e552482321a8ba90c0a9ee7efddb6bff	9863	.md	(root)	01_Cherry_Model_Decision.md
19b41f6d1f8f5b0426f2dddf4519203414a7c3aa0da76e14fd5cc436218f3cc7	10583	.md	(root)	05_Forest_Model_Final_Decisions_Chart.md
61b63e2623ff3cfa580ad5808b7b942dd0760beb79f08e3f2ae9fc0e81b4e848	45182	.md	(root)	AI_Managed_Privacy_Community_Mesh_Network.md
5c26243a7713a3c72bb0cecab4868abb67a3e6824a2a91e2e78d6376962d93c3	55562	.md	(root)	Cedar_Model_Selection_Steps_1-5.md
77785630a3eb81f35dc7d316fdb73bdcce363d05305a5132f1e890c50b358ee4	33463	.md	(root)	Cherry_Step_6_Model_Candidate_Research.md
5113d6841ab1574656acc514306f13e4f70e018f0de336c62632caa48f19f3f0	1457721	.png	Downloads	Downloads/ChatGPT Image Aug 10, 2026, 10_13_58 AM.png
c85b22b197eb0e3c17dfbad1a5d01c0baa8c1ea43edec9302a74ea87938c50ae	6275	.md	Downloads	Downloads/Forest Logs/00-combined-original-prompts-and-suggestions.md
bd415463ba4e3ce0de8d598cdea2512f9005faefd5ed8a431b379db1ea17be7c	580	.md	Downloads	Downloads/Forest Logs/01-early-seed-training-obsidian.md
254ca7ebabf819e7ea97d76db45f049615ea87bcf216dfaca311a392d9fde128	663	.md	Downloads	Downloads/Forest Logs/02-leaf-foliage-and-all-in-one-forest.md
8f5b0ab4cb2e271f5770745187123c3ab49a4cf585d69efb2539d364b3e14396	1424	.md	Downloads	Downloads/Forest Logs/04-mobile-background-agents-and-maple.md
213010b61c13b57e6b8bddfb15cbe11ffd3a646246da5101386e670209447cc9	29165	.md	Downloads	Downloads/Forest Logs/Forest_PDC_PDF_Deep_Context.md
29d1cd9c9a14f1ce8c7838f3fda026c7665ed67a51ee09ff4f6d50132bd45c2c	50461	.md	Downloads	Downloads/Forest Logs/Forest_PDC_PDF_Expanded_Continuity_2026-08-07.md
4d47f6a6b9fbc19bbbf8516d9666b93edddbc7cce846d0bb14a21b93952e6ee4	17517	.md	Downloads	Downloads/Forest Logs/Maple_Forest_Vault_Indexing_Infrastructure.md
5284d9e04830efa4dad99d753d5739541e1e6c4c37f90c414e9610c3a321ed26	45226	.md	Downloads	Downloads/Forest Logs/Project_Forest_PDC_PDF_Master_Context.md
2c29502e1e4991200286abfd3f803eaf3b1b7b8b343cd733d13b37e2bd5ced25	21609	.md	Downloads	Downloads/Forest Logs/QUBES-PC-SYSTEM-AND-AI-RUNTIME-SNAPSHOT(1).md
2c29502e1e4991200286abfd3f803eaf3b1b7b8b343cd733d13b37e2bd5ced25	21609	.md	Downloads	Downloads/Forest Logs/QUBES-PC-SYSTEM-AND-AI-RUNTIME-SNAPSHOT.md
7a945b62c153e86fce9a4748ca5f1b25a8e81760b040cea3b5c2de777868bb3c	18827	.md	Downloads	Downloads/Forest Logs/Qubes_PC_System_Deep_Technical_Context.md
9fee8ad6569fb3929e9b15b4f82702565c284518d68df14c6846e4639bf7fbab	52607	.md	Downloads	Downloads/Forest Logs/Qubes_PC_System_Expanded_Technical_Context_2026-08-07.md
4fafcd4b8d05446d7defeafaac0ebc364ac646e8d1fcf74b2f4a4e9241d1e1a9	27115	.md	Downloads	Downloads/Forest Logs/Qubes_PC_System_Technical_Context.md
f3585083ae14a0f700c819e79bc0cfd489122a3069b186fb17742d7825302036	29257	.md	Downloads	Downloads/Forest Logs/THE-FOREST-PDC-PDF-PROJECT-KNOWLEDGE-SNAPSHOT(1).md
f3585083ae14a0f700c819e79bc0cfd489122a3069b186fb17742d7825302036	29257	.md	Downloads	Downloads/Forest Logs/THE-FOREST-PDC-PDF-PROJECT-KNOWLEDGE-SNAPSHOT(2).md
f3585083ae14a0f700c819e79bc0cfd489122a3069b186fb17742d7825302036	29257	.md	Downloads	Downloads/Forest Logs/THE-FOREST-PDC-PDF-PROJECT-KNOWLEDGE-SNAPSHOT(3).md
f3585083ae14a0f700c819e79bc0cfd489122a3069b186fb17742d7825302036	29257	.md	Downloads	Downloads/Forest Logs/THE-FOREST-PDC-PDF-PROJECT-KNOWLEDGE-SNAPSHOT(4).md
f3585083ae14a0f700c819e79bc0cfd489122a3069b186fb17742d7825302036	29257	.md	Downloads	Downloads/Forest Logs/THE-FOREST-PDC-PDF-PROJECT-KNOWLEDGE-SNAPSHOT.md
1717d2562ed46d3a6542ba4ea47ab9c845e4ceb390f0b1af8cbf711b6b23b01b	29331	.md	Downloads	Downloads/Forest Logs/The_Forest_Shared_Knowledge_Canopy_and_Spirit_Concept.md
909b963d099110734eb2edd0ba98bc2b0f70f61df6e283d87d16e9f985808b50	7230	.md	Downloads	Downloads/Forest Logs/bristlecone_capability_registry_and_individual_tool_activation.md
276f506a33f90b35806340dec5d8bba5ed5048158f57f91065f22ef035de6d1f	30319	.md	Downloads	Downloads/Forest Logs/bristlecone_forest_complete_continuity_archive_2026-08-08.md
132c5ab6d69e4a59e8246836424e96f7b4dcfb9bdf1bc29242160c196d37494e	50938	.md	Downloads	Downloads/Forest Logs/bristlecone_forest_complete_continuity_archive_2026-08-09.md
63728e429ceb1627f00dd1f7b7a01716cc307aeae21acbe3caa1941cd92f4506	20023	.md	Downloads	Downloads/Forest Logs/bristlecone_layered_hot_context_and_task_session_cache_update.md
8cc745550a1e31cbd26d2cb6e77ce3cabe91fb693443799e4f9ac4efab922386	15730	.md	Downloads	Downloads/Forest Logs/bristlecone_maple_remote_compute_continuity.md
9359e192bb46b8b630982ee31b91966548fe05d0dc1d9029a5ac26ae8c8e644f	15864	.md	Downloads	Downloads/Forest Logs/bristlecone_performance_continuity_and_next_steps(1).md
9359e192bb46b8b630982ee31b91966548fe05d0dc1d9029a5ac26ae8c8e644f	15864	.md	Downloads	Downloads/Forest Logs/bristlecone_performance_continuity_and_next_steps(2).md
9359e192bb46b8b630982ee31b91966548fe05d0dc1d9029a5ac26ae8c8e644f	15864	.md	Downloads	Downloads/Forest Logs/bristlecone_performance_continuity_and_next_steps.md
a74204ce62d2e68a4c60cd635665778eb05188ef148da8782cb84c2371e9c561	4077	.md	Downloads	Downloads/Forest Logs/bristlecone_phase14_1_performance_baseline.md
595fe32c759ca14d647cffd61d48f3d1d381fb91de5c3639439e53772f04b030	3516	.md	Downloads	Downloads/Forest Logs/bristlecone_phase14_2_latency_baseline.md
29c9db8b275433046c03202a96cdee5853635bb60c443d0e5c5df16bbf974ac1	3313	.md	Downloads	Downloads/Forest Logs/bristlecone_phase14_3_14_4_hot_path_audit.md
23a613f51ea81aaf3aa69cef0fc2be6657453bc154202dd209df19f31b97d412	58186	.md	Downloads	Downloads/Forest Logs/bristlecone_pine_full_continuity_packet_v1_1.md
81ba817b06cb12130bdf7b3f0b8078cb140128e795f46def29ccf8ef62f25798	58086	.txt	Downloads	Downloads/Forest Logs/bristlecone_pine_full_continuity_packet_v1_1.txt
f3e664207322436fb1168d3ef5f910de869a8e0ea8d2c122fed7cff56e3373ac	76448	.md	Downloads	Downloads/Forest Logs/bristlecone_pine_optimization_master_v2.md
